epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,11851.2,1.38648,0.8942,0.00997,0.77762,0.6874,0.75981,0.4428,1.58124,1.1036,0.01596,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,12019.7,1.38799,0.88967,0.00997,0.77893,0.68667,0.76075,0.44184,1.58186,1.10377,0.01596,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,12187.4,1.37343,0.88535,0.00974,0.78733,0.68644,0.76105,0.44181,1.58418,1.10088,0.01598,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,12355.1,1.3706,0.88636,0.0098,0.7836,0.68685,0.76231,0.44371,1.58128,1.10048,0.01597,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,12522.2,1.36869,0.86767,0.00968,0.78074,0.69418,0.76132,0.44364,1.58211,1.0988,0.016,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,12689.6,1.36323,0.86354,0.00958,0.78558,0.68593,0.7608,0.44359,1.58388,1.09569,0.01604,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,12857.1,1.35832,0.84529,0.00954,0.78313,0.69001,0.76108,0.44312,1.58197,1.09571,0.01604,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,13024.7,1.35656,0.85114,0.00958,0.77742,0.6971,0.76172,0.44424,1.5823,1.09574,0.01605,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,13193.3,1.35158,0.84391,0.00949,0.77824,0.69691,0.76161,0.44353,1.58568,1.09061,0.01609,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,13362.6,1.33227,0.82203,0.00932,0.7769,0.69754,0.76124,0.44355,1.58531,1.09231,0.01608,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,13532,1.33408,0.82112,0.00925,0.77567,0.70038,0.76178,0.4442,1.58291,1.09728,0.01604,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,13701.3,1.32626,0.81266,0.00916,0.77708,0.69874,0.76127,0.44386,1.58101,1.10027,0.01602,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,13870.4,1.31573,0.81432,0.00898,0.77875,0.69732,0.76074,0.44422,1.58215,1.09887,0.01603,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,14039.4,1.31409,0.79235,0.00897,0.77574,0.69391,0.75979,0.44465,1.58217,1.10155,0.01604,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,14207.8,1.30991,0.79024,0.00895,0.76928,0.70347,0.75963,0.44361,1.57774,1.11354,0.01599,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,14376.3,1.30714,0.78542,0.00888,0.76855,0.70273,0.75883,0.44281,1.57906,1.11384,0.01599,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,14544.7,1.3018,0.78286,0.00894,0.76732,0.70418,0.7599,0.44335,1.57869,1.11394,0.01598,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,14713.4,1.28351,0.78068,0.00878,0.76004,0.7069,0.76062,0.44368,1.57877,1.11601,0.016,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,14882.5,1.29502,0.76897,0.00875,0.77249,0.70262,0.76011,0.44336,1.57655,1.11945,0.01598,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,15051.5,1.28794,0.76229,0.00877,0.77191,0.70313,0.75964,0.44302,1.57694,1.12062,0.01598,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,15243.9,1.27268,0.66038,0.0097,0.76914,0.70199,0.75927,0.44257,1.57821,1.12235,0.01599,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,15406.3,1.24626,0.62427,0.00928,0.77088,0.70089,0.76076,0.44318,1.57773,1.12512,0.01602,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,15568.4,1.23705,0.60794,0.00902,0.76618,0.70559,0.7602,0.44332,1.57761,1.12725,0.01599,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,15731.1,1.21823,0.59093,0.00891,0.76851,0.70405,0.75923,0.44267,1.57653,1.13414,0.01598,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,15894.3,1.20997,0.58282,0.00884,0.77041,0.70281,0.75829,0.44195,1.5777,1.13683,0.01597,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,16056.4,1.2045,0.56882,0.00868,0.77128,0.70237,0.7584,0.44169,1.58013,1.13237,0.01601,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,16218.4,1.19203,0.57314,0.00856,0.772,0.70085,0.75686,0.44124,1.58167,1.1323,0.01601,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,16380.4,1.1869,0.56395,0.00849,0.76959,0.69907,0.75716,0.44062,1.5785,1.13701,0.01598,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,16542.7,1.17663,0.56303,0.00851,0.77194,0.70121,0.75784,0.4412,1.58365,1.13134,0.01606,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,16705.3,1.17231,0.5564,0.00836,0.77589,0.69847,0.75771,0.44057,1.58568,1.13116,0.01609,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
