epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/smoke,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
1,4097,,,,,,,,,,,,,,,,,,,,,,,,,,0.4033410847187042,0.6961393356323242,299.1142883300781,299.1142883300781,299.1142883300781,299.1142883300781,299.1142883300781,15.302663803100586,0.7185245752334595,0.4276774227619171,0.6705166697502136,5.996928691864014,0.01508630532771349,0.01563064567744732,0.015435432083904743,0.015179883688688278,0.01783040165901184,0.6948623657226562,0.6941205263137817,0.6907094717025757,0.6928884983062744,0.6889351606369019,0.2071865200996399,0.21261608600616455,0.21035227179527283,0.20771096646785736,0.23193509876728058,0.7014926671981812,0.4033410847187042,0.4155624508857727,0.6533761620521545,0.6876000165939331,0.7048934102058411
1,4097,3899.377197265625,3899.444580078125,3899.427001953125,3899.0869140625,3899.443115234375,7.784624099731445,6.433017730712891,0.018810387700796127,0.0193940382450819,0.018930982798337936,0.018775470554828644,0.022240370512008667,0.7056258916854858,0.7162342071533203,0.7069158554077148,0.705872654914856,0.7260370254516602,0.23164282739162445,0.23695869743824005,0.23356831073760986,0.23207587003707886,0.2565375566482544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4099,,,,,,,,,,,,,,,,,,,,,,,8.549507765565068e-05,8.549507765565068e-05,2.763683141893125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4149,,,,,,,,,,,,,,,,,,,,,,,8.515799709130079e-05,8.515799709130079e-05,2.7527869406185346e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4199,,,,,,,,,,,,,,,,,,,,,,,8.48177369334735e-05,8.48177369334735e-05,2.7417879664426437e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4249,,,,,,,,,,,,,,,,,,,,,,,8.447432628599927e-05,8.447432628599927e-05,2.7306869014864787e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4299,,,,,,,,,,,,,,,,,,,,,,,8.412779425270855e-05,8.412779425270855e-05,2.7194851099920925e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4349,,,,,,,,,,,,,,,,,,,,,,,8.377817721338943e-05,8.377817721338943e-05,2.708183274080511e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4399,,,,,,,,,,,,,,,,,,,,,,,8.342550427187234e-05,8.342550427187234e-05,2.696782985367463e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4449,,,,,,,,,,,,,,,,,,,,,,,8.306980453198776e-05,8.306980453198776e-05,2.6852846986002987e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4499,,,,,,,,,,,,,,,,,,,,,,,8.271111437352374e-05,8.271111437352374e-05,2.673689778021071e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4549,,,,,,,,,,,,,,,,,,,,,,,8.234947017626837e-05,8.234947017626837e-05,2.6619993604981573e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4599,,,,,,,,,,,,,,,,,,,,,,,8.198489376809448e-05,8.198489376809448e-05,2.650214355526259e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4649,,,,,,,,,,,,,,,,,,,,,,,8.161743608070537e-05,8.161743608070537e-05,2.638335899973754e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4699,,,,,,,,,,,,,,,,,,,,,,,8.124711166601628e-05,8.124711166601628e-05,2.6263651307090186e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4749,,,,,,,,,,,,,,,,,,,,,,,8.08739714557305e-05,8.08739714557305e-05,2.614302957226755e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4799,,,,,,,,,,,,,,,,,,,,,,,8.049803727772087e-05,8.049803727772087e-05,2.602150743769016e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4849,,,,,,,,,,,,,,,,,,,,,,,8.011934551177546e-05,8.011934551177546e-05,2.5899093998305034e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4899,,,,,,,,,,,,,,,,,,,,,,,7.973793981363997e-05,7.973793981363997e-05,2.577580062279594e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4949,,,,,,,,,,,,,,,,,,,,,,,7.935384928714484e-05,7.935384928714484e-05,2.565164095358341e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4999,,,,,,,,,,,,,,,,,,,,,,,7.896710303612053e-05,7.896710303612053e-05,2.5526624085614458e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5049,,,,,,,,,,,,,,,,,,,,,,,7.857775199227035e-05,7.857775199227035e-05,2.5400761387572857e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5099,,,,,,,,,,,,,,,,,,,,,,,7.818581798346713e-05,7.818581798346713e-05,2.5274066501879133e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5149,,,,,,,,,,,,,,,,,,,,,,,7.779133738949895e-05,7.779133738949895e-05,2.514655079721706e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5199,,,,,,,,,,,,,,,,,,,,,,,7.739435386611149e-05,7.739435386611149e-05,2.5018223368533654e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5249,,,,,,,,,,,,,,,,,,,,,,,7.699490379309282e-05,7.699490379309282e-05,2.4889097858249443e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5299,,,,,,,,,,,,,,,,,,,,,,,7.65930162742734e-05,7.65930162742734e-05,2.4759185635048198e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5349,,,,,,,,,,,,,,,,,,,,,,,7.618873496539891e-05,7.618873496539891e-05,2.462849806761369e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5399,,,,,,,,,,,,,,,,,,,,,,,7.578209624625742e-05,7.578209624625742e-05,2.449704879836645e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
